id,channel,days_ago,rating,text,theme_truth
F0001,app_review,39,1,Service fee went up again with no notice.,price_fees
F0002,app_review,90,2,Late again. Third time this month.,late_delivery
F0003,app_review,54,2,Window slipped twice in one afternoon.,late_delivery
F0004,app_review,27,2,"No update, no ETA, driver just showed up an hour after the window.",late_delivery
F0005,nps_verbatim,14,2,"Asked for whole milk, they sent oat milk. Nobody checked with me.",substitution
F0006,nps_verbatim,12,1,Delivery fee doubled for the same order size.,price_fees
F0007,app_review,29,1,Replaced my specific hot sauce with ketchup. Ketchup.,substitution
F0008,support_ticket,18,2,Window slipped twice in one afternoon.,late_delivery
F0009,app_review,26,1,Why is there a bag fee AND a service fee?,price_fees
F0010,support_ticket,44,1,Prices in the app are higher than in store.,price_fees
F0011,support_ticket,89,3,"Groceries left at the wrong door, found them next morning.",late_delivery
F0012,nps_verbatim,56,1,Kids' snack swapped for one with nuts. Allergy. This is a safety issue.,substitution
F0013,app_review,72,3,"No update, no ETA, driver just showed up an hour after the window.",late_delivery
F0014,nps_verbatim,18,2,I would rather get nothing than a random replacement I did not ask for.,substitution
F0015,app_review,36,2,Got the wrong size diapers. Baby can't wait for a refund.,substitution
F0016,support_ticket,36,1,Service fee went up again with no notice.,price_fees
F0017,nps_verbatim,57,4,Good experience overall.,other
F0018,nps_verbatim,21,1,Please just let me choose my own backup item. Why is this hard?,substitution
F0019,nps_verbatim,52,2,"No update, no ETA, driver just showed up an hour after the window.",late_delivery
F0020,nps_verbatim,68,1,Every other order has a substitution I have to return. Exhausting.,substitution
F0021,nps_verbatim,73,2,"No update, no ETA, driver just showed up an hour after the window.",late_delivery
F0022,app_review,85,2,"Delivery window was 6-8pm, arrived 9:40.",late_delivery
F0023,nps_verbatim,58,1,Service fee went up again with no notice.,price_fees
F0024,support_ticket,58,1,Swapped organic chicken for conventional without asking. Charged me the organic price.,substitution
F0025,support_ticket,40,1,Lettuce was wilted and slimy.,item_quality
F0026,support_ticket,51,1,Meat expiry was tomorrow. Who picked this?,item_quality
F0027,nps_verbatim,70,5,Great produce selection.,other
F0028,support_ticket,85,3,Bread was squished flat under the milk.,item_quality
F0029,support_ticket,30,1,No option to say 'do not substitute this item'. I keep getting junk.,substitution
F0030,app_review,22,1,Delivery fee doubled for the same order size.,price_fees
F0031,app_review,72,1,Bananas were brown on arrival.,item_quality
F0032,nps_verbatim,49,2,Lettuce was wilted and slimy.,item_quality
F0033,support_ticket,35,3,Meat expiry was tomorrow. Who picked this?,item_quality
F0034,support_ticket,31,2,Service fee went up again with no notice.,price_fees
